code,ratio_eco_total,ratio_orgashop,ratio_mart,orgashop_mart,orgashop,mart_wo_orga,mart_orga,orga_total,eco_wo_orga,exp_total,sel1,sel2,sel3,sel4,sel5,sel6,heal1,heal2,heal3,heal4,heal5,sec1,sec2,sec3,sec4,fre1,fre2,fre3,econ1,econ2,econ3,econ4,tast1,tast2,tast3,plea1,plea2,plea3,habi1,habi2,habi3,atti1,atti2,atti3,atti4,atti5,atti6,heal,econ,habit,info,local,new,no_add,plea,sec,taste,ratio_orga_total,ratio_orga_shop,ratio_mart_eco,_clus_1,_clus_2,_clus_3,_clus_4,_clus_5,_clus_6,_clus_7,_clus_8,_clus_9,_clus_10,_clus_11,_clus_12,_clus_13,_clus_14,_clus_15,_clus_16,_clus_17,_clus_18,_clus_19,_clus_20,_clus_21,_clus_22,_clus_23,_clus_24,_clus_25,_clus_26,_clus_27,_clus_28,_clus_29,_clus_30
1,.0039785,0,1,86016,0,81066,4950,4950,81066,2.16e+07,7,7,7,4,6,4,6,6,6,4,2,4,4,4,4,7,7,7,6,4,4,2,7,5,2,2,4,5,6,4,6,6,5,4,4,4,4,.6197,-1.0594,.4574,-1.0992,-.0447,-1.1296,-.9273,.0319,-1.171,-.1292,.0039785,0,.0039785,1,1,1,3,3,1,1,2,2,2,2,2,4,6,3,6,1,2,5,3,1,4,5,1,2,4,5,4,1,6
2,.0058853,.3295675,.6704325,147466,48600,58676,40190,88790,58676,2.51e+07,5,6,6,5,6,5,4,6,6,4,4,5,4,4,4,6,6,5,4,3,3,4,6,6,4,5,4,6,6,6,7,5,6,6,5,5,6,.0061,-.4058,.9992,.3713,.1027,.8574,-.5522,.304,-.6281,.6384,.0058853,.0019396,.0039457,2,3,3,3,3,3,1,1,2,5,5,6,7,1,3,3,4,4,3,4,5,5,1,5,1,4,5,4,2,1
3,.0021527,0,1,38311,0,38311,0,0,38311,1.78e+07,7,7,7,4,4,5,7,7,7,7,5,7,7,7,5,7,7,7,7,6,6,4,7,2,1,6,6,4,7,7,7,7,7,7,7,7,7,1.6031,.593,1.2406,1.7592,1.501,1.6254,1.5309,.8443,1.0448,-2.0516,.0021527,0,.0021527,2,2,4,4,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,2,4,3,2,1,3,3
4,.0050454,.5804858,.4195142,48580,28200,17380,3000,31200,17380,9628602,7,7,7,6,6,5,4,4,5,2,3,4,5,5,3,7,6,7,5,5,6,6,4,2,4,3,5,6,4,3,4,6,7,6,4,4,4,-1.0654,1.3565,-1.1088,-.4928,1.084,-.9957,-.4829,.8462,-.8136,-1.8234,.0050454,.0029288,.0021166,2,2,2,4,3,3,3,3,1,2,4,7,2,6,6,6,1,6,2,5,4,2,2,2,5,4,4,5,4,4
5,.0028719,.1078943,.8921058,55610,6000,43780,5830,11830,43780,1.94e+07,5,5,5,6,6,5,5,6,7,4,3,4,3,4,3,5,6,6,6,6,6,4,6,6,5,4,6,5,6,4,6,6,5,5,5,4,4,.5946,.593,.4574,-.5757,-.0447,-.2277,-1.3716,1.1164,-1.1854,.7145,.0028719,.0003099,.002562,1,1,4,3,3,1,4,2,2,5,5,3,7,1,3,2,4,2,4,6,5,2,2,5,1,4,5,5,2,1
9,.0057765,.7747934,.2252066,96800,75000,5780,16020,91020,5780,1.68e+07,5,6,6,6,6,4,5,6,5,4,2,6,4,2,2,3,5,4,6,6,6,6,4,5,3,5,5,5,6,5,6,6,4,2,3,5,6,.0313,1.5795,.4574,-1.2822,-.6091,.5403,-.1772,.5742,-2.4865,-.0531,.0057765,.0044756,.0013009,1,1,1,3,3,3,3,2,2,5,5,3,8,1,5,2,2,2,4,6,6,2,2,5,1,3,4,5,3,3
11,.0014219,0,1,13800,0,13800,0,0,13800,9705164,7,7,6,7,7,6,6,5,7,6,2,7,6,7,4,6,6,7,6,6,4,4,7,6,4,7,6,7,6,7,6,7,7,7,6,6,6,.5065,.3733,.4574,1.1096,1.501,2.0763,1.0865,1.6605,-.0556,.6384,.0014219,0,.0014219,2,3,4,1,1,4,5,1,3,1,3,1,1,4,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
12,.0005035,0,1,7600,0,4200,3400,3400,4200,1.51e+07,7,7,7,7,7,7,7,7,5,4,4,6,4,6,6,7,6,7,4,4,5,2,6,4,5,4,6,7,7,4,7,7,7,7,6,6,6,1.0398,-.9495,1.2406,1.1096,1.501,-.2277,-.1772,1.6605,.6874,-.5164,.0005035,0,.0005035,2,3,3,5,2,2,2,1,3,1,3,1,1,4,1,3,3,3,3,4,3,5,4,1,4,6,3,4,1,5
14,.0206101,.5112574,.4887426,338088,172850,53278,111960,284810,53278,1.64e+07,4,4,6,6,6,3,4,5,4,6,5,6,6,6,6,6,6,2,6,6,6,6,6,6,3,2,2,2,6,2,6,6,5,5,6,6,6,-.9521,1.5795,.4574,.5032,-.0447,-1.7636,.7115,-1.8687,.9589,.5624,.0206101,.010537,.010073,1,2,2,4,1,4,5,3,1,2,4,7,2,6,6,6,5,6,2,5,4,2,2,2,5,2,6,5,4,4
21,.0008481,0,1,13900,0,0,13900,13900,0,1.64e+07,6,6,6,6,5,1,6,6,3,6,4,6,5,5,5,6,5,5,5,2,2,2,6,2,3,4,3,4,3,4,6,6,6,5,2,5,6,-.2252,-1.7252,-.2666,-.5929,.5197,-.2277,.2671,-.7824,.0297,-1.8995,.0008481,0,.0008481,1,2,2,4,2,2,2,3,1,2,2,2,4,6,6,6,1,6,2,3,1,1,5,3,5,1,2,3,4,6
22,.0183399,.9549845,.0450155,330775,315885,4990,9900,325785,4990,1.80e+07,7,7,6,5,6,6,7,7,7,6,5,7,6,6,6,7,7,7,6,4,2,2,7,6,5,5,5,7,7,6,7,6,6,6,6,5,5,1.6031,-1.2791,1.2406,.3771,.5197,.8574,1.0865,1.1183,.9589,.7145,.0183399,.0175144,.0008256,2,3,3,5,2,2,2,1,3,1,3,1,1,4,1,3,3,3,3,2,3,5,4,6,3,6,3,4,6,5
23,.0012271,0,1,16350,0,13360,2990,2990,13360,1.33e+07,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,5,5,4,7,7,4,7,7,7,7,7,7,7,1.6031,1.4192,1.2406,1.7592,1.501,.2233,1.5309,.5761,2.1596,.099,.0012272,0,.0012272,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,2,3,3,6,1,3,3
24,.0045585,.7105452,.2894548,140737,100000,40737,0,100000,40737,3.09e+07,4,4,6,6,6,6,2,5,2,2,2,3,3,2,2,6,6,7,3,3,2,2,4,2,2,2,2,6,5,2,3,4,6,5,2,2,5,-2.1291,-1.5022,-1.4093,-1.4518,-.3142,-1.7636,-1.7467,-.7805,-2.4865,-1.9755,.0045585,.0032391,.0013195,1,1,1,2,3,1,4,2,4,3,6,4,5,5,4,5,6,5,1,1,2,1,3,3,6,5,1,2,5,2
25,.0053881,.8435916,.1564084,138100,116500,10900,10700,127200,10900,2.56e+07,7,7,6,6,4,2,4,6,5,6,6,7,6,7,6,7,7,7,6,2,2,2,7,5,2,2,2,4,7,5,7,7,6,7,5,7,4,-.2756,-1.7252,1.2406,.675,.9366,-.8125,1.0865,-1.3246,1.6022,-.1292,.0053881,.0045454,.0008427,2,3,3,5,2,2,2,3,1,4,1,6,3,4,1,3,3,4,2,4,1,4,5,1,4,6,3,4,1,5
29,.092228,.9604039,.0395961,3125487,3001730,111647,12110,3013840,111647,3.39e+07,7,7,7,5,6,4,4,6,7,7,2,7,6,7,7,6,5,7,2,1,1,1,6,5,6,2,2,2,1,1,2,7,5,5,4,2,6,.2877,-2.5514,-2.9165,-.7966,.3722,-2.0807,1.0865,-1.8687,.8022,.1751,.092228,.0885761,.0036519,1,2,3,5,2,2,2,3,1,2,1,5,6,3,6,4,1,1,6,3,1,4,5,1,5,6,3,4,1,6
30,.0043187,.1810087,.8189913,137010,24800,55770,56440,81240,55770,3.17e+07,7,7,6,5,7,5,6,7,4,6,6,6,7,7,6,7,7,7,7,2,2,2,6,4,2,2,4,6,4,4,5,7,6,5,4,4,4,.4513,-1.7252,-.5671,-.796,.9366,-1.1296,1.1558,.304,1.6022,-.7446,.0043187,.0007817,.003537,2,3,3,5,2,2,2,3,1,4,1,5,3,3,1,4,3,1,6,4,3,4,4,1,4,6,3,4,1,5
31,.0066732,.6243758,.3756242,155195,96900,33485,24810,121710,33485,2.33e+07,7,7,6,6,6,4,4,6,6,6,5,6,6,6,5,7,7,3,6,4,4,4,6,6,5,5,5,4,5,6,5,5,6,6,6,6,6,.0061,-.0729,-.3257,.8064,.1027,.8574,.7115,.3021,.673,.7145,.0066733,.0041666,.0025066,2,3,3,5,2,4,5,1,3,4,1,1,3,2,1,3,3,1,3,2,3,5,4,5,1,2,3,4,3,5
32,.0046647,.0591319,.9408681,99777,5900,52117,41760,47660,52117,2.14e+07,6,6,6,5,6,6,5,5,5,4,4,4,4,4,4,6,5,6,5,3,4,4,6,6,6,5,5,5,6,5,6,6,4,4,4,4,4,-.3636,-.2959,.4574,-1.0992,-.6091,.5403,-.9273,.5742,-.6281,.7905,.0046647,.0002758,.0043889,1,1,1,3,3,1,1,2,2,5,5,3,7,1,3,2,2,2,5,6,5,5,1,5,1,4,5,2,2,1
36,,,,0,0,0,0,0,0,2.87e+07,6,6,6,6,6,4,7,6,6,4,2,4,4,5,4,7,7,7,7,7,7,6,7,6,6,6,6,5,7,4,6,7,4,4,4,4,4,.9266,1.9125,.6988,-1.0992,-.1921,.6743,-.9273,1.1164,-.7992,.7905,0,0,0,1,3,4,1,3,3,3,1,2,5,5,3,8,1,5,1,2,2,4,5,6,3,6,5,1,3,6,5,3,3
37,.0023703,0,1,35532,0,35532,0,0,35532,1.50e+07,7,7,7,7,7,7,7,7,5,6,4,6,6,5,5,7,6,7,6,7,7,6,7,6,6,6,7,7,7,5,7,7,4,6,6,6,7,1.0398,1.9125,1.2406,1.0209,-.1921,.9913,.7115,2.2028,.0297,.7905,.0023703,0,.0023703,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
38,.0012753,0,1,30390,0,21740,8650,8650,21740,2.38e+07,1,2,2,3,1,4,5,7,5,4,6,7,6,5,3,6,7,5,7,6,5,4,7,6,5,3,6,7,7,4,6,6,7,6,3,4,5,.4262,.4831,.6988,-.4987,1.084,-.6786,1.0865,1.6605,.0008,.7145,.0012753,0,.0012753,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
41,.0097257,0,1,237774,0,229924,7850,7850,229924,2.44e+07,6,6,6,4,6,5,7,7,7,7,7,7,7,5,7,7,7,7,6,2,3,2,6,6,6,6,6,6,2,2,2,6,6,6,6,4,4,1.6031,-1.6154,-2.6751,-.0522,.5197,.0402,1.5309,1.3885,1.4159,.7905,.0097257,0,.0097257,2,3,3,5,2,2,2,1,3,4,1,5,3,3,1,4,3,1,6,2,3,5,4,6,3,6,3,4,1,5
42,.0033295,.4910813,.5089186,63126,31000,23186,8940,39940,23186,1.90e+07,5,6,6,4,7,5,4,7,7,4,5,5,5,5,6,7,6,6,6,4,2,4,5,3,6,3,3,3,6,5,6,5,4,4,5,6,6,.6826,-.2926,.4574,-.0203,-1.026,-.3616,-.1079,-1.0544,.5871,-1.0558,.0033295,.0016351,.0016945,1,2,2,4,2,2,1,3,1,2,2,2,4,6,6,6,1,6,2,3,1,1,5,3,5,1,2,3,4,6
